"","Time Step","N","Max","Cells","med","cv"
"1","sum_01_mat",144,28,23,0.0141787408223687,0.468242078567351
"2","aut_01_mat",249,48,31,0.00184210417832602,0.774904843046025
"3","win_01_mat",0,0,NA,NA,NA
"4","spr_01_mat",0,0,NA,NA,NA
"5","sum_02_mat",64,19,13,0.00301857980378442,0.44608575484368
"6","aut_02_mat",241,96,25,0.000120480162782159,1.71586713849479
"7","win_02_mat",126,46,17,0.00126523028542856,0.867358753870652
"8","spr_02_mat",9,6,2,0.00262024456521739,0.680370333847324
"9","sum_03_mat",0,0,NA,NA,NA
"10","aut_03_mat",346,82,35,0.00287943267522008,1.39752932777703
"11","win_03_mat",274,57,46,0.0102491224582682,0.476560240126669
"12","spr_03_mat",3,2,2,0.00494026771089003,0.0904534850082074
"13","sum_04_mat",0,0,NA,NA,NA
"14","aut_04_mat",395,111,38,8.10089538642085e-05,3.41480131648672
"15","win_04_mat",282,52,34,0.00449348543423249,1.02231960309448
"16","spr_04_mat",0,0,NA,NA,NA
"17","sum_05_mat",8,8,1,0.000454545454545455,0
"18","aut_05_mat",157,40,22,0.00435715119948945,0.69639704424463
"19","win_05_mat",200,29,28,0.00259221881933513,0.286394978961507
"20","spr_05_mat",12,6,5,0.00718397435897436,0.225772240279383
"21","sum_06_mat",2,1,2,0.00523806451612903,0.164207594425433
"22","aut_06_mat",152,29,18,0.00269369352252686,2.10575585970185
"23","win_06_mat",154,28,35,0.0017726682775915,1.03097842954158
"24","spr_06_mat",39,9,12,0.00420685924369748,0.218655670398181
"25","sum_07_mat",16,9,7,0.00205063644688645,0.30526004084274
"26","aut_07_mat",221,25,32,0.00110491128197353,0.267970418002228
"27","win_07_mat",256,51,25,0.00479543665848888,0.346601267782724
"28","spr_07_mat",13,11,2,0.0132811111111111,0.287413028928042
"29","sum_08_mat",24,4,13,0.00797261758835035,0.207503864467426
"30","aut_08_mat",124,45,17,0.00129394773561685,0.978135686802705
"31","win_08_mat",121,18,28,0.0118162526268768,0.18509499664505
"32","spr_08_mat",20,7,5,0.00860424836601307,0.396999294390086
"33","sum_09_mat",13,12,2,0.00484388888888889,0.1147058255868
"34","aut_09_mat",163,61,15,0.00182084657044156,1.36457120264114
"35","win_09_mat",248,31,32,0.0070117013210378,0.554962631467873
"36","spr_09_mat",52,13,11,0.00490306878306878,0.871188110152297
"37","sum_10_mat",52,14,11,0.00524457995951417,0.604712185200476
"38","aut_10_mat",155,54,12,0.00158558751877443,1.48550128615704
"39","win_10_mat",126,18,26,0.00825552880877647,0.180454543709708
"40","spr_10_mat",27,6,10,0.0113755566801619,0.605860395006365
"41","sum_11_mat",17,7,6,0.028562895256917,0.180421468336515
"42","aut_11_mat",198,42,22,0.00545844493047522,0.604656830495645
"43","win_11_mat",133,12,27,0.00660439847484332,0.476140444998017
"44","spr_11_mat",45,8,11,0.00875571428571429,0.198770166130717
"45","sum_12_mat",35,7,9,0.0115812939958592,0.209028342433826
"46","aut_12_mat",182,49,24,0.00034399879939029,1.28458730499201
"47","win_12_mat",153,31,25,0.00251624827750551,0.391344268947604
"48","spr_12_mat",0,0,NA,NA,NA
